country_id,country_name,countryiso3code,indicator_id,indicator_name,date,value
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2024-01-01,2173835806671.66
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2023-01-01,2071505725030.58
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2022-01-01,2291612121334.64
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2021-01-01,1829186719575.1
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2020-01-01,1493075894362.14
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2019-01-01,1693115002708.32
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2018-01-01,1657328773461.31
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2017-01-01,1574199360089.0
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2016-01-01,1276786350881.14
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2015-01-01,1363482182197.71
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2014-01-01,2059241589895.01
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2013-01-01,2292470078346.22
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2012-01-01,2208293553878.42
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2011-01-01,2045922753398.04
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2010-01-01,1524916715223.95
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2009-01-01,1222645900055.7
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2008-01-01,1660848058303.11
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2007-01-01,1299703478481.65
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2006-01-01,989932071352.543
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2005-01-01,764015973481.11
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2004-01-01,591016690732.385
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2003-01-01,430347420184.885
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2002-01-01,345470494417.863
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2001-01-01,306602070620.5
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),2000-01-01,259710142196.943
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),1999-01-01,195907128350.934
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),1998-01-01,270955486862.442
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),1997-01-01,404928954191.876
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),1996-01-01,391724890744.498
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),1995-01-01,395537185734.854
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),1994-01-01,395077301248.464
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),1993-01-01,435083713850.837
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),1992-01-01,460290556900.726
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),1991-01-01,517962962962.963
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),1990-01-01,517014446227.929
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),1989-01-01,506631299734.748
RU,Russian Federation,RUS,NY.GDP.MKTP.CD,GDP (current US$),1988-01-01,554828660436.137
