year,value,country_iso3,indicator
2025,,RUS,NY.GDP.MKTP.CD
2024,2173835806671.66,RUS,NY.GDP.MKTP.CD
2023,2071505725030.58,RUS,NY.GDP.MKTP.CD
2022,2291612121334.64,RUS,NY.GDP.MKTP.CD
2021,1829186719575.1,RUS,NY.GDP.MKTP.CD
2020,1493075894362.14,RUS,NY.GDP.MKTP.CD
2019,1693115002708.32,RUS,NY.GDP.MKTP.CD
2018,1657328773461.31,RUS,NY.GDP.MKTP.CD
2017,1574199360089.0,RUS,NY.GDP.MKTP.CD
2016,1276786350881.14,RUS,NY.GDP.MKTP.CD
2015,1363482182197.71,RUS,NY.GDP.MKTP.CD
2014,2059241589895.01,RUS,NY.GDP.MKTP.CD
2013,2292470078346.22,RUS,NY.GDP.MKTP.CD
2012,2208293553878.42,RUS,NY.GDP.MKTP.CD
2011,2045922753398.04,RUS,NY.GDP.MKTP.CD
2010,1524916715223.95,RUS,NY.GDP.MKTP.CD
2009,1222645900055.7,RUS,NY.GDP.MKTP.CD
2008,1660848058303.11,RUS,NY.GDP.MKTP.CD
2007,1299703478481.65,RUS,NY.GDP.MKTP.CD
2006,989932071352.543,RUS,NY.GDP.MKTP.CD
2005,764015973481.11,RUS,NY.GDP.MKTP.CD
2004,591016690732.385,RUS,NY.GDP.MKTP.CD
2003,430347420184.885,RUS,NY.GDP.MKTP.CD
2002,345470494417.863,RUS,NY.GDP.MKTP.CD
2001,306602070620.5,RUS,NY.GDP.MKTP.CD
2000,259710142196.943,RUS,NY.GDP.MKTP.CD
1999,195907128350.934,RUS,NY.GDP.MKTP.CD
1998,270955486862.442,RUS,NY.GDP.MKTP.CD
1997,404928954191.876,RUS,NY.GDP.MKTP.CD
1996,391724890744.498,RUS,NY.GDP.MKTP.CD
1995,395537185734.854,RUS,NY.GDP.MKTP.CD
1994,395077301248.464,RUS,NY.GDP.MKTP.CD
1993,435083713850.837,RUS,NY.GDP.MKTP.CD
1992,460290556900.726,RUS,NY.GDP.MKTP.CD
1991,517962962962.963,RUS,NY.GDP.MKTP.CD
1990,517014446227.929,RUS,NY.GDP.MKTP.CD
1989,506631299734.748,RUS,NY.GDP.MKTP.CD
1988,554828660436.137,RUS,NY.GDP.MKTP.CD
1987,,RUS,NY.GDP.MKTP.CD
1986,,RUS,NY.GDP.MKTP.CD
1985,,RUS,NY.GDP.MKTP.CD
1984,,RUS,NY.GDP.MKTP.CD
1983,,RUS,NY.GDP.MKTP.CD
1982,,RUS,NY.GDP.MKTP.CD
1981,,RUS,NY.GDP.MKTP.CD
1980,,RUS,NY.GDP.MKTP.CD
1979,,RUS,NY.GDP.MKTP.CD
1978,,RUS,NY.GDP.MKTP.CD
1977,,RUS,NY.GDP.MKTP.CD
1976,,RUS,NY.GDP.MKTP.CD
1975,,RUS,NY.GDP.MKTP.CD
1974,,RUS,NY.GDP.MKTP.CD
1973,,RUS,NY.GDP.MKTP.CD
1972,,RUS,NY.GDP.MKTP.CD
1971,,RUS,NY.GDP.MKTP.CD
1970,,RUS,NY.GDP.MKTP.CD
1969,,RUS,NY.GDP.MKTP.CD
1968,,RUS,NY.GDP.MKTP.CD
1967,,RUS,NY.GDP.MKTP.CD
1966,,RUS,NY.GDP.MKTP.CD
1965,,RUS,NY.GDP.MKTP.CD
1964,,RUS,NY.GDP.MKTP.CD
1963,,RUS,NY.GDP.MKTP.CD
1962,,RUS,NY.GDP.MKTP.CD
1961,,RUS,NY.GDP.MKTP.CD
1960,,RUS,NY.GDP.MKTP.CD
